#,Category,Question,Evidence,Gate
4.1,Finance,Does the project have a comprehensive financial management process in place?,"■      The project can demonstrate that:
■      It has a comprehensive financial management process in place and risk/ contingency calculations have been included in the budget and show that the baseline has an appropriate allowance for risk/contingency.
■      An appropriate cost baseline including an assured, resource loaded schedule that demonstrates cost by component in accordance with the project work breakdown structure.
■      Costs are within current budgets, whole life funding is affordable, supported
by stakeholders, and committed by departmental Finance and HM Treasury.
■      How it has been calculated and that it is appropriate for the lifecycle stage – Cost Risk Assessment (QCRA)/Revolving Credit Facility (RCF)/optimism bias.
■      Evidence that optimum bias has been factored into the overall project.
■      Risks should be presented as a range rather than a single-figure estimate,
i.e. an estimate at both the P50 and P80 levels.
■      A bottom-up approach on how the risk/ contingency allowance is calculated.
■      Where risks cannot be reduced, the costs of managing these risks separately identified and included as a risk allocation provision.
■      Analysis undertaken of the effects of slippage in time, cost, scope or quality.",GATE_4
4.2,Financial,Does the project have a profiled budget in place showing operating expenditure (opex) and capital expenditure (capex) that has been approved by Department Finance?,"■      The project should demonstrate:
■      That the supplier’s funding is all in place, with little or no exposure of public funds or additional financial burden.
■      That all required resources and associated client side funding is in place or will be once the FBC is approved by HMT.
■      Funding for the Project has been approved in the Spending Review by the Departments Finance Director.
■      The Project and HMT have been in dialogue about the full business case and HMT and both the Department Finance Director and HMT have signed off the FBC.
■      Cabinet Office (CO) controls have been sighted on the FBC and the project has satisfied the CO controls teams
commercial and technology spend control requirements.
■      That it is under control, and funds are being managed with agreed tolerances and transparent financial reporting is being produced.
■      The project should demonstrate that profiled budget is in place showing opex/capex expenditure that has been approved by Department Finance, including:
■      Budget provision;
■      Resource provision agreed;
■      Subsequent years’ expenditure included in project budgets;
■      Authorisation/approval process for payments to suppliers;
■      Process for expenditure reporting and reconciliation;
■      Insurances established by suppliers where required.",GATE_4
4.3,Financial,Is the project under control? Is it running according to plan and budget?,"■      Reconciliations of cost with budget and actual schedule with planned schedule.
■      Updated risk register and issue log.
■      Status reports for communication and external relations activities.
■      Reports on environmental performance, where applicable. If not available, consequences are understood.
■      Compliance with statutory requirements (e.g. health and safety, data protection).
■      Contractual issues resolved and recorded.
■      Project controls are in place to monitor costs, risk, schedule and scope elements.",GATE_4
4.4,Financial,Is the Business Case still valid and project still required?,"■      Updated project plan (and programme plan if appropriate) and Business Case justifying implementation: meeting business needs likely to deliver value for money, affordable and achievable, with implementation broken down into modules/increments where appropriate.
■      Evidence the project delivered the agreed benefits.
■      Evidence the project has no commercial bills outstanding and that all commercial agreements are closed.
■      Evidence that the business case has been maintained as a “living” document, not just for investment approval.",GATE_4
4.5,Financial,"What is the approach to whole life cycle performance
management and performance of contractors? Have ongoing operation and maintenance been considered in detail?","■      Issues and ongoing costs relating to maintenance (of buildings and/or IT infrastructure and applications as appropriate) monitored against expectations and addressed.
■      The project and its objectives are continually reviewed as well as evidence that the contractors are reviewed.
■      Responsibilities for ongoing performance management, beyond the lifecycle of the project, are clear and deliverable.",GATE_4
5.1,Management,"If there are unresolved issues, what are the risks of implementing rather than delaying?","■      Project risk management strategy in place, developed in line with best practice.
■      Assessment of all remaining issues and risks, with responsibility for management of residual risks clearly defined.
■      Evaluation report on the risk and impact of cancelling, delaying or proceeding with
implementation that considers: the project outcome and wider programme of change benefits realisation consequences for supplier, client, business, stakeholders, users, etc other factors such as financial outcome, political issues and delivery.
■      Options and management plans for all scenarios and a recommendation based on sensitivity analysis.
■      The Project Board has ratified the recommendation to delay or proceed with implementation.",GATE_4
5.2,Management,Is the project ready to stand up a live-service?,"■      The project should demonstrate:
■      That it has considered and planned for entry into service with due consideration for the end user perspective and that there is clarity on who is accountable for making decision go/no-go decisions.
■      A clear approach to transition, traced through to the Management Case.
■      Clear evidence on supplier responsibilities for commissioning, testing and go live.
■      An operator exists who is the project lead through the stages of testing, commissioning and entry into service.
■      It has used ITIL or other Service Management methodologies to ensure that all elements of the service are
in place with the required processes, engagement, operating hand books, SLAs and commercial management.
■      There is an intelligent client function (if appropriate).
■      The change control procedures (both technical and business) are defined, agreed and included in the contract(s).
■      There is a well articulated plan for implementing change and plans for handling future change.
■      Project risk management strategy in place and there is an evaluation report on the risk and impact of cancelling, delaying or proceeding with implementation that considers: the project outcome and wider programme of change, benefits realisation consequences for supplier, client, business, stakeholders, users, etc. other factors such as financial outcome, political issues and delivery.
■      Options and management plans for all scenarios and a recommendation based on sensitivity analysis. The Project Board has ratified the recommendation to delay or proceed with implementation.
■      The exit and disposal/decommission of the existing service (if replacement) has been fully planned and the plan agreed with the incumbent supplier(s).",GATE_4
5.3,Management,Have all new system/service/ business process testing and commissioning/acceptance (or transition) procedures been completed?,"■      Commissioning/test plans, results and analysis of products against acceptance criteria.
■      Commissioning/test results that conform to the pre-defined criteria.
■      Ratified test reports and logs.
■      Commissioning/testing team with relevant skills and experience.
■      Confirmed ‘end-to-end’ testing, including changed or new business processes.
■      Testing takes into account future modules or deliverables.
■      Missing or incomplete items and agreed corrective action documents in place.
■      Evidence that a rollback business continuity strategy is in place, which demonstrates that the blackout period is understood.
■      The results have been accepted by relevant stakeholders.",GATE_4
5.4,Management,Does the total service or facility meet the acceptance criteria?,"■      Internal and external commitment to provide the resources required.
■      Job descriptions for key project staff are in place.
■      Skills appraisal and plans for addressing any shortfalls.
■      Appropriate allocation of key project roles between internal staff and consultants or contractors.",GATE_4
5.5,Management,"Is change
management effective?","■      Evidence of regular review of change management policies.
■      Evidence an approval process is in place.
■      Forward looking reviews that identify possible change.
■      The project can evidence that stakeholders are engaged.
■      Stakeholder engagement should be included in the Project Execution Document and demonstrate:
■       A key list of stakeholders, and statement of their needs and support for the project.
■      Stakeholders’ roles and responsibilities, and their potential influence on the project, defined and agreed.
■      End-users for the project identified.
■      Evidence that the decision-making process is inclusive of all the relevant stakeholders and is both efficient and effective.
■      Results of consultations documented as part of project stakeholder engagement/ communications strategy.
■      If the project traverses organisational boundaries, there are clear governance arrangements to ensure sustainable alignment with the business objectives of all organisations involved.",GATE_4
5.6,Management,"Are there workable and tested business
contingency, continuity and/or reversion plans for rollout, implementation and operation?","■      Fully documented and timetabled decision paths for key aspects (eg go/no go decisions on rollout) with decision makers clearly identified and informed.
■      Where appropriate, plans should cover IT components as well as the business.
■      Endorsement by Project Board and supplier.
■      Listed roles and responsibilities, resources allocated and staff trained.
■      Commissioning/testing represented expected scenario(s).
■      Commissioning/test plans, results and analysis of products against acceptance criteria.
■      Commissioning/test results that conform to the pre-defined criteria.
■      Plans for transition to new ways of working, where applicable.
■      Plans for handover to facilities management, where applicable.
■      Training plans and relevant supporting material, if required plans for a user support helpdesk, where applicable.",GATE_4
5.7,Management,Can the organisation implement the new services and maintain existing services?,"■      Resource plan, showing: capacity and capability resources available to meet commitments. Would expect to see relevant risks for capacity, ongoing operational performance etc in the risk register.
■      The project should demonstrate that it has the right resources with the right experience including a bottom-up resource model with underpinning assumptions that supports the delivery of the plan.
■      The Project should demonstrate evidence of robust resource estimation and planning and resource allocation to ensure delivery of the project objectives.",GATE_4
5.8,Management,Is the project planning to enter service cautiously? Is it clear who is accountable for making the decision to commission?,"■      Clear approach to transition, traced through to the Management Case.
■      Clear evidence on supplier responsibilities for commissioning, testing and go live.
■      Potentially technical assurance to confirm gap analysis has taken place.
■      An operator exists who will become the project lead through the stages of testing, commissioning and entry into service. This operator should have been embedded into the planning for this stage of the project from the outset.",GATE_4
5.9,Management,"Is the end user perspective considered when
making decisions?","■      The go-live approach has been refined based on user feedback engagement.
■      User groups engaged which, are reflective of the user community.
■      There is a clear approach to engagement and training, reflected in the plan, resourced and cost.",GATE_4
5.1,Management,Is there a robust delivery strategy in place?,"■      The Project should demonstrate a clear delivery strategy showing:
■      Evidence that key factors influencing the delivery strategy have been identified and the impact has been assessed. E.g. risk appetite, lessons learned from previous projects/phases, market conditions.
■      Evidence that these factors have been taken into account in the design of the chosen delivery strategy.
■      Efficiency and predictability of the delivery process has been considered, with a process in place for addressing the impact of any deviation from the plan and timetable, and plans for two- way communications with stakeholders and suppliers.
■      Endorsement by the Department, CO and HMT. Clear documentation of sponsoring department, HMT, CO alignment and areas of disagreement. Evidence
that these tensions are understood and manageable.
■      Business continuity and future exit, handover and transition strategies have been considered at a high level.
■      The delivery strategy should include, as appropriate:
■      Description of the key objectives, constraints (e.g. timescale), funding mechanism and risk allocation.
■      The delivery route (how the strategy will be achieved), including sourcing options and contracting strategy; procurement procedure (e.g. Competitive Dialogue or Negotiated).
■      Time plan to include timetable laid down by procurement regulations, and time needed for pre-procurement activities, implementation and contingency in
the event of unavoidable slippage, with milestones.
■      Assessment of marketplace/potential suppliers; the roles, resources and skills needed to manage the delivery strategy.
■      Sustainability issues have been considered.",GATE_4
5.11,Management,"Has the delivery stage complied with the environmental, climate resilience and sustainability targets and standards defined as part of the preferred option and commercial agreement?","■      Evidence of the record of environmental, climate and sustainability aspects defined as part of the preferred solution and agreed as part of the commercial agreement(s).
■      Evidence of any changes to the delivery and how these changes have affected the agreed environmental, climate and sustainability targets.
■      Evidence of any implications (positive or negative) for the benefits case.",GATE_4
5.12,Management,Is the approach for business change articulated in a business change management document which has been updated for this gate?,"■      The Business Change Management Document sets out:
■      The business forums which are being used to take the business through the change journey.
■      The user needs.
■      The business requirements.
■      Impact assessment approach.
■      Test Management approach.
■      Cutover management approach.
■      Change checklist.
■      Go-no-go decision processes.
■      Account has been taken of relevant impact assessment and appraisal issues such as Regulatory Impact, Sustainable Development and Environmental Appraisal",GATE_4
5.13,Management,Does the project have a robust reporting process?,"■      The project should demonstrate a mature suite of interconnected reports are maintained where content and insights are identifiable across the suite. Reports are continually reviewed, focussed to
support key organisational decision making and strategy and evolve as improved information or technology becomes available. Benchmarking plays a key role in recommended decisions and options based on analytics.
■      The Project should demonstrate plans and processes are in place to publish key cost, schedule and performance data for each stage of the project delivery lifecycle.
■      Evidence that environmental and social indicators are being monitored, with a consideration of how these indicators can be disaggregated by key characteristics (age, sex, geography, disability) where relevant, in order to support the SDG principle of Leave No One Behind.",GATE_4
5.14,Management,"Does the project have all of the required products in
place, and approved, required for this gate?","■      The project should have all of the required products produced, and approved by the Project Board before coming to the gate.
■      Refer to the Project Documentation section for a summary of the products required.",GATE_4
5.15,Management,Does the project have the right leadership in place?,"■      The project should demonstrate that it has adequate leadership which includes a
definitive SRO and Programme, and Project Directors (where the projects are of a certain size and complexity). The governance framework should be clearly outlined with a clear owner for the project.
■      An SRO appointment letter must be in place.
■      The SRO must demonstrate that they are undertaking their responsibilities as required in relevant policy initiatives.",GATE_4
5.16,Management,Does the project have proper controls that hold the project team to account for timely and quality delivery?,"■      The Project Execution Document should set out:
■      The overall programme controls (progress tracking, risk management, issue identification and resolution, impact assessment) are defined.
■      Interdependencies between other programmes and projects defined, with adequate plans for managing them.
■      For collaborative programmes, accountabilities and governance arrangements for different organisations defined and agreed.
■      Parties in the delivery chain identified and an approach to them working together established.
■      Processes to manage and record key project information and decision-making.
■      Clear governance structure with a RACI in place.",GATE_4
5.17,Management,Does the project have a clearly defined architecture?,"■      Project & Programme business cases and Project Delivery Documents should include a project structure and business case structure that shows:
■      The perimeter of the programme and its respective Projects.
■       All business cases that will be included in the project.
■      How costs and benefits will be tracked and aggregated from Projects to the overarching Programme.
■      Approved programme/project and business case structures will be reviewed at each gate, any changes must clearly demonstrated and must have gone through formal
change controls.",GATE_4
5.18,Management,Does the project have mechanisms in place to learn lessons?,"■      The project should demonstrate that it has conducted a lessons learnt exercise pre-gate 4 and learnt lessons from other recent similar projects across UK gov and help inform its business case and delivery approach.
■      The project should demonstrate that there is a mechanism in place to learn lessons from its own delivery regardless of the stage in the project delivery lifecycle.
■      This mechanism should lead to Project Board reports on lessons learnt when appropriate action is taken. Lessons should also be provided to the Department Portfolio Office for inclusion in Portfolio system learning.",GATE_4
5.19,Management,"Does the project have an in-depth understanding of risk, and is there a process
to identify, assess, allocate, manage and monitor current, anticipated and emerging risks and issues?","■      Risk management processes are outlined in the Risk, Assumptions, Issues and Dependencies (RAID) Log.
■      Project risks are identified through engagement with stakeholders and articulated in terms of serierty, proximity and likelihood with comprehensive mitigating actions and residual risks articulated in the risk tab of the projects RAID log.
■      The risk register should show risks relating to the strategy, economics, commercials, financials and management (focusing on deliverability) of the project. Each business case that is produced should include the relevant risks in the relevant case and show how the risk has changed since the last Gate.",GATE_4
5.2,Management,Has the project used robust planning and estimation techniques?,"■      Planning and estimation techniques include: Analogous estimation, Parametric
estimation, Delphi method, 3 Point Estimate, Expert Judgment, Published Data Estimates, Vendor Bid Analysis, Reserve Analysis, Bottom-Up Analysis, and Simulation.
■      Projects should demonstrate objectives, planning assumptions, constraints, activities and quality plans alongside schedules. Deliverables and milestones should be defined and agreed for all stages. Detail should be high for the immediate next stage.
■      The Programme/Project should demonstrate that it is controlling its schedule, and the impact of delays on benefits and cost.
The schedule should be baselined at each business case stage and changes to the baseline should be reflected in the costs and benefits of the project.",GATE_4
5.21,Management,Have programmes and projects defined an integrated plan for undertaking assurance and approvals (IAAP)?,"■      A defined and integrated plan for undertaking assurance and approvals in place, is regularly reviewed, updated and maintained, with a plan to do so until closure.
■      Assurance measures to include:
■      ‘Critical friends’ to the project (e.g. internal audit, procurement, specialists and/or peer reviewers co-opted onto the Project Board) appointed.
■      Health-checks and/or policy reviews incorporated into plans.
■      2nd Line of defence assurance through the Department Portfolio Office.
■      Gate assurance through the IPA.",GATE_4
5.22,Management,"Does the project have an adequate Project/Programme Management Office
(PMO) capability?","■      The project should demonstrate that the PMO is maintaining the integrity of the business cases (programme and project level), managing the collation and escalation of
risk, issues, dependencies, constraints, and reporting at project level.
■      Projects and programmes are expected to demonstrate that they have a project office in their project organisation.",GATE_4
1.1,General,"Has the project published a close out report in
line with requirements set out in the National Infrastructure Strategy?",■      All Government Major Project Portfolio (GMPP) infrastructure and construction projects must publish a close out report within six months of completing construction,GATE_4
1.2,Strategic,How are off-site construction methods being applied in this programme and project?,"■      Project team demonstrates the use of digital technologies and standardisation of assets
e.g. the adoption of best.
■      Practice from the manufacturing sector, such as off-site construction.
■      Evidence that off-site construction methods have been considered by the project team.",GATE_4
2.1,Management,Does the project have a framework for Resilience in place?,"■      The project can evidence resilience standards inline with the ‘Anticipate, React, Recover, Resilient Infrastructure Systems Report by the National Infrastructure Commission (NIC).",GATE_4
2.2,Management,"What is the approach to whole life cycle
performance management of the assets being built and contractors delivering the project? This is important in view of the preference for off-site construction methods, and whether they represent Value for Money in
view of WLAC.",■      Evidence that the project and its objectives are continually reviewed as well as evidence that the contractors are reviewed.,GATE_4
2.3,Management,"Commissioning – has the project planned from right to left to consider the impact of the commissioning
regime (particularly from regulators) to ensure safety and readiness
for operation?",■      Comprehensive plan detailing commissioning regimes (where appropriate).,GATE_4
2.4,Management,Is system integration work satisfactory?,"■      Sufficient time and effort has been placed on commissioning, trialling and testing and contingency built in where necessary.
■      Wider stakeholder community is satisfied about the working of the end to end system.
■      Operational testing has taken place.",GATE_4
