#,Category,Gate,Question,Evidence
2.5,Economic,GATE_2,"Is the list of identified risks, constraints and dependencies (including climate mitigation, adaptation, sustainability,
environmental and systemic considerations) reflected
in the economic modelling assumptions?","_      Evidence that any relevant Supplementary Green Book Guidance, such as Accounting for the effects of climate change, Valuation of energy use and greenhouse gas emissions for appraisal, Valuing infrastructure spend has been followed in the appraisal of options."
2.6,Economic,GATE_2,"What plans does the project have to publish key cost, schedule and performance data at different stages? (access to this information helps to inform robust evaluation).","_      Plan for reporting on baseline elements: cost, schedule, risk and scope.
_      A detailed project plan will be in place to outline initial cost for the project (taking into account benefits, dependencies, policies, contingency). The plan will include the proposed schedule for the project."
2.7,Economic,GATE_2,"Has, and will, the project follow the principles of making benefits-focussed announcements? When
a cost and schedule are announced are they expressing them as a
range that will narrow as the project progresses through delivery?","_      The benefits strategy details the principles of benefit focused announcements at each phase of delivery.
_      When cost and schedule are announced they should be expressed as a range that will narrow as the project progresses through delivery.
_      Ministers are actively encouraged to make benefits focused announcements rather than cost based ones."
2.8,Economic,GATE_2,What are the macroeconomic factors that could impact the ability of the government and the supply chain to deliver the project effectively?,_      Macroeconomic factors and potential impacts included in the benefits map.
2.9,Economic,GATE_2,"What long term impact will the project have on the UK economy including opportunities to maximise the scheme s benefits by
joining up different sectors and tiers of government (e.g. transport and housing)?","_      The wider and long term impact the project will have on the wider UK economy and a benefits map which details how the project will impact wider areas of government included in the benefits strategy.
_      Evidence of a comprehensive benefits realisation plan.
_      Evidence that the UN SDG goals have been incorporated into the benefits analysis."
2.1,Economic,GATE_2,"Have environmental and climate benefits (and disbenefits, where applicable) been
comprehensively identified and categorised?","_      Evidence that a whole life approach (cradle to cradle or cradle to grave, as a minimum)
has been taken into account in the estimation of benefits (and disbenefits), including for carbon (e.g. a whole life carbon assessment has been conducted as advised in the Construction Playbook). Evidence that any relevant Supplementary
Green Book Guidance, such as Accounting for
the effects of climate change, Valuation of
energy use and greenhouse gas emissions for
appraisal, Valuing infrastructure spend has
been followed in the appraisal of options."
2.11,Economic,GATE_2,Does the baseline and various scenarios used in the economic modelling reflect the latest available information on climate scenarios and is the counterfactual clearly and robustly articulated?,"_      Evidence that any relevant Supplementary Green Book Guidance, such as Accounting for the effects of climate change, Valuation of energy use and greenhouse gas emissions for appraisal, Valuing infrastructure spend has been followed in the appraisal of options.
_      Evidence that the latest UK Climate Projections have been considered and a Climate Change Risk Assessment (CCRA) has been carried out (where applicable)._      Where  future flexibility  (e.g.  future systems resilience  or spare capacity) have been considered in the value for money (vfm) assessment, the rationale for including
this should be supported by evidence. Alternatively, the need for  future flexibility  should be reflected in the critical success factors (CSFs) used in the option appraisal or in the application of another suitable appraisal method."
3.1,Commercial,GATE_2,"Is the evaluation strategy aligned to the aims and objectives (including how to demonstrate value
for money) accepted by stakeholders and
compliant with all relevant procurement rules?","_ Risks are captured in the risk register,
and there is an understanding of how the
risks/misalignment are profiled in the  way
of working .
_ Evidence of the alignment of the
Departments, IPA, Cabinet Office and the
sponsoring department.
_ Evaluation criteria and model(s) approved by
stakeholders.
_ Key evaluation criteria linked to business
objectives and given appropriate weighting.
_ Financial and non-financial aspects of the
evaluation have been separated out.
_ Evaluation criteria has been included in
information to potential tenderers and priorities
in meeting that need, where applicable (e.g.
quality of service, innovation).
_ For construction projects, appropriate weight
given to health and safety, sustainability,
design quality.
_ Where appropriate, the evaluation includes
benchmarking the value for money offered by
partnering, internal supplier or framework/
call_off arrangement.
_ Consideration of contract duration, in relation
to value for money and whole of life costs.
_ Consideration of whether to act on behalf of
other public sector organisations in the role of a
Central Purchasing Body.
_ Legal advice has been sought on any
procurement approach and risks to cost and
timeline incorporated into the overall Business
Case and plan._      Evaluation criteria and model(s) approved by stakeholders."
3.2,Commercial,GATE_2,"Has the programme/project team understood the strengths and weaknesses of the commercial model and how to manage
them as well as the compromises required?","_      The Project should demonstrate that there has been an evidence based assessment in order to evaluate and select the most suitable commercial model. The commercial model
should be signed off in the commercial strategy and there should be evidence of regular review. Viable options have been identified with a focus on optimising Value for Money.
_      Options appraisal on the commercial/delivery model e.g. prime contractor, Design and Build (D&B), Design and Delivery Partner (DDP).
_      Analysis of contracting approach (e.g. fixed price, New Engineering and Construction Contract (NEC)3, Time and Material (T&M) etc).
_      Opportunities offered by the model considered as well as downside/risks and plans to mitigate these risks.
_      Articulation of the compromises that have been made (e.g. D&B model may lose commercial tension as designs mature, but avoids procurement delays).
_      Preferred option consistently incorporated into the baseline for the project i.e. cost estimate modelled on selected delivery model and schedule includes the appropriate procurement timelines for the chosen model."
3.3,Commercial,GATE_2,Are the business needs clearly understood by the client organisation and likely to be understood by those involved in delivery?,"_      The project can demonstrate that they understand the market capability and this has been taken into account around timescales.
_      The project can demonstrate that it has a detailed understanding of the current business operation and runs a comprehensive target operating model design process, a business requirements gathering and user needs analysis process with stakeholders.
_      Detailed output/outcome-based definition of requirements.
_      Specification to include key success factors to show how achievement of outputs/outcomes will be assessed.
_      Appropriate quality criteria applied to information for the delivery organisation (internal or external)."
3.4,Commercial,GATE_2,"Have principles of climate mitigation, adaptation, sustainability, environmental and systemic considerations been incorporated in the commercial model?","_      Evidence that the procurement route incorporates in documentation method or other ways these principles and they are cascaded
to the entire supply chain, where possible and practical.
_      Evidence that there is alignment with the Construction Playbook guidance and any subsequent procurement guidance or policy which refers to environmental, sustainability or climate related considerations and practices."
3.5,Commercial,GATE_2,Is the contract management strategy robust?,"_      The contract management strategy takes account of key factors such as the required  intelligent customer  skills, proposed relationship, management of single or multiple suppliers.
_      Evidence of continuity of key project personnel.
_      The Project should demonstrate that there has been an assessment of all available
sourcing options (e.g. use of internal resources, opportunities for collaboration, Shared Services, use of existing frameworks etc.).
_      The Project should have an approved commercial strategy, and an approved procurement strategy.
_      The commercial strategy should show what the requirement is for the new service, the proposed commercial approach and what the plan is for the existing service (if replacing).
_      The procurement strategy should show buying options (including service break down/single or multiple suppliers) both public procurement (Official Journal of the European Union
(OJEU) or UK equivalent) and UK government frameworks options analysis and pros and cons."
3.6,Commercial,GATE_2,Will the project be attractive to the market?,"_      Evidence that market sounding has been completed and that there is sufficient capacity and capability in the market to deliver the work.
_      Senior management has sufficiently engaged with the industry and are able to assess supply-side risks."
3.7,Commercial,GATE_2,Is there adequate knowledge of existing and potential suppliers? Who are the suppliers most likely to succeed?,"_      Adequate knowledge of existing and potential suppliers has been considered.
_      Commercial market intelligence, market sources and potential suppliers evident.
_      Track records from public and private sector considered (public sector s ability as a customer to work in this way; private sector track record in meeting similar or equivalent business needs).
_      Indications of the types of suppliers most likely to succeed in delivering the required outcomes.
_      There is evidence of a clear and consistent strategy for engaging with the industry rather than making sourcing decisions on a piecemeal basis."
3.8,Commercial,GATE_2,"Where appropriate, have options for the procurement route been evaluated, including sources of supply?","_      All appropriate sourcing options examined (e.g. use of internal resources, single
or multiple suppliers; opportunities for collaboration, Shared Services, use of existing frameworks, etc).
_      Prime Contracting, Design and Build and alternative options like Design and Delivery Partner have been fully evaluated. The impact of incentives for schedule/cost/contingency performance has been considered and this modelling is included in the business case.
_      Comparison with similar projects and analysis, supported by commercial intelligence
on market capability. This could include comparator schemes in the UK or overseas.
_      Reasons for selecting sourcing options documented and justified."
4.1,Finance,GATE_2,Does the project have a comprehensive financial management process in place?,"_      The project can demonstrate that:
_      It has a comprehensive financial management process in place and risk/ contingency calculations have been included in the budget and show that the baseline has an appropriate allowance for risk/contingency.
_      An appropriate cost baseline including an assured, resource loaded schedule that demonstrates cost by component in accordance with the project work breakdown structure.
_      Costs are within current budgets, whole life funding is affordable, supported
by stakeholders, and committed by departmental Finance and HM Treasury.
_      How it has been calculated and that it is appropriate for the lifecycle stage   Quantitative Cost Risk Assessment
(QCRA)/Revolving Credit Facility (RCF)/ optimism bias.
_      Evidence that optimum bias has been factored into the overall project.
_       Risks should be presented as a range rather than a single-figure estimate, i.e. an estimate at both the P50 and P80 levels.
_       A bottom-up approach on how the risk/ contingency allowance is calculated.
_       Where risks cannot be reduced, the costs of managing these risks separately identified and included as a risk allocation provision.
_      Analysis undertaken of the effects of slippage in time, cost, scope or quality."
4.2,Financial,GATE_2,How has the project approached cost baselining?,"_      An assured, resource loaded schedule that demonstrates cost, scope, schedule and risk are aligned. The schedule should hold a good level of detail and should specify the cost, risk, schedule and scope elements by cost
component in accordance with mandated work and cost breakdown structures.
_      Evidence of an independent shadow cost model.
_      Interviews with schedule and cost leads to understand the impacts of delays.
_      Critical path explored to understand pinch points and how associated cost impacts have been modelled.
_      The project should demonstrate that cost estimates have been built up using a number of planning and estimating techniques and cost benchmarking. The cost range should be wide at this gate with QCRA at P60-P70."
4.3,Financial,GATE_2,Are the costs within current budgets? Is the project s whole-life funding affordable and supported by the key stakeholders?,"_      Reconciliation of projected whole-life costs with available budget, reviewed and accepted or approved by key stakeholders.
_      Project costs within organisation s forecasted spending plans."
4.4,Financial,GATE_2,Is the proposed arrangement likely to achieve whole-life value for money?,"_      Basis for calculating costs (value of requirements) and comparison of delivery approaches (e.g. tenders) agreed with key stakeholders.
_      Updated Business Case on the basis of the full project definition, market assessment and initial benefits plan.
_      Delivery strategy reflected in the Business Case.
_      Examination of sensitivities and financial implications of handling major risks; assessment of their effect on project return.
_      Projects that are not designed to achieve a financial return should include comparisons with similar successful projects to assess the potential to achieve value for money and to set targets."
4.5,Financial,GATE_2,"Does the baseline have an appropriate allowance for risk/contingency? How has that been calculated and is that appropriate for the lifecycle stage
and if a Quantitative Cost Risk Assessment (QCRA) has been undertaken, what P value does the contingency represent?","_      A risk register is in place setting out a good level of detail e.g. risk distribution, impact, values, mean etc with appropriate treatment of uncertainty.
_      The project is using an underpinning risk methodology (QCRA, Monte Carlo etc) or appropriate to have technical assurance in place on risk calculations.
_      Optimism bias has been factored into the overall project.
_      Risk worst case scenarios have been appropriately costed at each phase of delivery ."
5.1,Management,GATE_2,Is there alignment on the outcomes of the project and has this been approved by key stakeholders?,"_      The Project should demonstrate:
_      The stakeholders have signed off the scope of the project.
_      Business objectives stated and Specific, Measurable, Agreed, Realistic and Timely (SMART), and meet the business needs of the organisation.
_      The outcomes to be delivered which are soundly based, with leading and lagging indicators.
_      What constitutes success, and the critical success factors?
_      How will the required quality of performance be measured?
_      Risks, dependencies, constraints which may impact the project outcomes. Each should have clear owners.
_      Contingency plans which will be activated to mitigate risk of failure.
_      Business continuity plans where appropriate.
_      The required engagement with delivery chains, and the market to achieve
the outcomes.
_      Where suppliers are in place, their ability to deliver has been considered."
5.2,Management,GATE_2,Have the factors that influenced the delivery strategy been addressed?,"_      Documented evidence that key factors influencing the delivery strategy have been identified and impact assessed. E.g. risk appetite, lessons learned from previous projects/phases, market conditions.
_      Evidence that these factors have been taken into account in the design of the chosen delivery strategy. In addition, efficiency and predictability of the delivery process have been considered, with a process in place
for addressing the impact of any deviation from the plan and timetable, and plans for two-way communications with stakeholders and suppliers."
5.3,Management,GATE_2,"Is the organisation still realistic about its
ability to achieve a successful outcome?","_      Comparison with similar projects (and similar organisations); assessment of past track record in achieving successful change; plans to manage known weaknesses; where applicable, plans for incremental/modular approaches; contingency plans in place.
_      If the project traverses organisational boundaries: there are clear governance arrangements to ensure sustainable alignment with the business objectives of all organisations involved."
5.4,Management,GATE_2,"Is the list of identified risks, constraints and dependencies (including
sustainability, environmental and climate resilience considerations and any related legal and planning consent matters) reflected in the optimism bias assumptions used?","_      Evidence that the risks, constraints and dependencies have considered sustainability, environmental and climate resilience, including legal and planning consent requirements that will be integral to the delivery of the various options under consideration.
_      Evidence that the optimism bias assumptions reflect these considerations.
_      Evidence that any relevant Supplementary Green Book Guidance, such as Accounting for the Effects of Climate Change, has been followed in the appraisal of options."
5.5,Management,GATE_2,"Who is holding the project team to account and ensuring the project is delivering to time, cost and quality baselines?","_      Clear governance structure in place (Governance  Responsible ,  Accountable ,  Consulted ,  Informed  (RACI)).
_      Sponsor requirements should be explicit on how cost pressures should be managed.
_      Governance RACI or development agreed.
_      Evidence from interviews with the project sponsor team and delivery team.
_      The project should demonstrate that it has adequate leadership which includes a definitive SRO and Programme, and Project Directors (where the projects are of a certain size and complexity). The governance framework
should be clearly outlined with a clear owner for the project.
_      An SRO appointment letter must be in place.
_      The SRO must demonstrate that they are undertaking their responsibilities as required in relevant policy initiatives."
5.6,Management,GATE_2,"To what extent is the project controlling schedule and benefits as well as cost? The interplays between these perspectives are key   e.g. delays increase costs. To what level are the internal mechanisms within the project organisation capable to maintain and refine
the baseline?","_      Incomplete baseline including a lot of uncertainty. There is evidence the project has the right controls in place to manage the changes in a controlled way and identify the gaps within the baseline.
_      Interviews with schedule and cost leads to understand the impacts of delays.
_      Critical path explored to understand pinch points and how associated cost impacts have been modelled."
5.7,Management,GATE_2,Is the project set up for success to work across multiple government departments/other public sector organisations?,"_      A detailed and updated stakeholder map in place, clear reporting rhythm and comms with the various stakeholders.
_      Evidence that they have agreed to the roles and responsibilities across the different stakeholder groups.
_      A governance structure is in place which clearly maps interdependencies with other government departments and public sector organisations.
_      Stakeholder engagement should be included in the Project Execution Document and demonstrate:
_       A key list of stakeholders, and statement of their needs and support for the project.
_      Stakeholders  roles and responsibilities, and their potential influence on the project, defined and agreed.
_      End-users for the project identified.
_      Evidence that the decision-making process is inclusive of all the relevant stakeholders and is both efficient and effective.
_      Results of consultations documented as part of project stakeholder engagement/ communications strategy.
_      If the project traverses organisational boundaries, there are clear governance arrangements to ensure sustainable alignment with the business objectives of all organisations involved."
5.8,Management,GATE_2,"Is the selected delivery strategy defined and endorsed? Is there strong alignment between HMT, Cabinet Office and the sponsoring department?","_      Clear documentation of sponsoring department, HMT, cabinet office alignment and areas of disagreement. Evidence that these tensions are understood and manageable.
_      The governance arrangements make it clear which organisation(s) is the project sponsor and which organisation(s) is responsible for delivering the sponsor s requirements.
_      Where the cross-government picture is more complex, there should be evidence of robust cross-government Programme Boards with clear Ministerial responsibility for large projects which span multiple departments.
_      Business continuity and future exit, handover and transition strategies have been considered at a high level.
_      Confirmation of development, involvement and endorsement of the delivery strategy by the appropriate individuals.
_      Delivery Strategy to include, as appropriate:
_      Description of the key objectives, constraints (e.g. timescale) and funding mechanism and risk allocation;
_      The delivery route (how the strategy will be achieved), including sourcing option and contract strategy;
_      Procurement procedure (e.g. Competitive Dialogue or Negotiated);
_      Time plan to include timetable laid down by procurement rules, and time needed for
pre-procurement activities, implementation and contingency in the event of unavoidable slippage, with milestones;
_      Assessment of marketplace/ potential suppliers;
_      The roles, resources and skills needed to manage the delivery strategy;
_      Alignment with plans for implementation; and
_      Procurement innovation and sustainability issues have been considered."
5.9,Management,GATE_2,Has entry into live-service been considered and planned for with due consideration for the end user perspective and is there clarity as to who is accountable for making the decision to commission?,"_      The project should demonstrate that it has considered the live-service operation, service management and supplier management approach, and have plans to stand up the required capability as part of the project.
_      The design of the live service should be included in the AS-IS/TO-BE Operating Model document and the requirements should
be included in the Business Requirements document, and approved by the business.
_      Clear approach to transition, traced through to the Management Case. Clear evidence on supplier responsibilities for commissioning, testing and go live.
_      Consideration of technical assurance to confirm gap analysis has taken place.
_      An operator exists who will become the project lead through the stages of testing, commissioning and entry into service. This
operator should be embedded into the planning for this stage of the project from the outset."
5.1,Management,GATE_2,"Does the project have resources with, where required, the appropriate skills and experience?","_      The project should demonstrate that it has the right resources with the right experience including a bottom-up resource model with underpinning assumptions that supports the delivery of the plan.
_      The Project should demonstrate evidence of robust resource estimation and planning and resource allocation to ensure delivery of the project objectives."
5.11,Management,GATE_2,"Has the project set success criteria and agreed measurements against outcomes, to be assessed at the next stage gates and
 go/no-go  decision points of the programme?","_      Detailed plan to identify the go/no go decisions endorsed by senior stakeholders.
_      Go/No-Go criteria are SMART.
_      Evidence that social & environmental targets have been set, and are these targets coherent with other existing targets (UK or international, e.g. SDGs)   either equal or more ambitious."
5.12,Management,GATE_2,Does the project have mechanisms in place to learn lessons?,"_      The project should demonstrate that it has conducted lessons learnt exercise pre-gate 2 and learnt lessons from other recent similar projects across UK gov and help inform its business case and delivery approach.
_      The project should demonstrate that there is a mechanism in place to learn lessons from its own delivery regardless of the stage in the project delivery lifecycle.
_      This mechanism should lead to Project Board reports on lessons learnt when appropriate action is taken. Lessons should also be provided to the Department Portfolio Office for inclusion in Portfolio system learning."
5.13,Management,GATE_2,Does the project have a robust reporting process?,"_      The project should demonstrate a mature suite of interconnected reports are maintained where content and insights are identifiable across the suite. Reports are continually reviewed, focussed to support key organisational decision making and
strategy and evolve as improved information or technology becomes available. Benchmarking plays a key role in recommended decisions and options based on analytics.
_      The Project should demonstrate plans and processes are in place to publish key cost, schedule and performance data for each stage of the project delivery lifecycle.
_      Evidence that the project s reporting mechanisms are in place to monitor social and environmental performance:
_      Clearly articulated goals and owners for delivery;
_      Where indicators are being developed for monitoring the project, there should be considerations of how these indiciators can be disaggregated bvy key haracteristics (age, sex, geography, disability) where relevant in order to suport the SDG principle of Leave No One Behind."
5.14,Management,GATE_2,"Does the project have all of the required products in place, and approved, required for this gate?","_      The project should have all of the required products produced, and approved by the Project Board before coming to the gate.
_      Refer to the Project Documentation section for a summary of the products required."
5.15,Management,GATE_2,Does the project have proper controls that hold the project team to account for timely and quality delivery?,"_      The Project Execution Document should set out:
_      The overall programme controls (progress tracking, risk management, issue identification and resolution, impact assessment) are defined.
_      Interdependencies between other programmes and projects defined, with adequate plans for managing them.
_      For collaborative programmes, accountabilities and governance arrangements for different organisations defined and agreed.
_      Parties in the delivery chain identified and an approach to them working together established.
_      Processes to manage and record key project information and decision-making.
_      Clear governance structure with a RACI in place."
5.16,Management,GATE_2,Does the project have a clearly defined architecture?,"_      Project & Programme business cases and Project Delivery Documents should include a project structure and business case structure that shows:
_      The perimeter of the programme and its respective Projects.
_       All business cases that will be included in the project.
_      How costs and benefits will be tracked and aggregated from Projects to the overarching Programme.
_      Approved programme/project and business case structures will be reviewed at each gate, any changes must clearly demonstrated and must have gone through formal
change controls."
5.17,Management,GATE_2,"Does the project have an in-depth understanding of risk, and is there a process
to identify, assess, allocate, manage and monitor current, anticipated and emerging risks and issues?","_      Risk management processes are outlined in the RAID Log.
_      Project risks are identified through engagement with stakeholders and articulated in terms of serierty, proximity and likelihood with comprehensive mitigating actions and residual risks articulated in the risk tab of the projects RAID log.
_      The risk register should show risks relating to the strategy, economics, commercials, financials and management (focusing on deliverability) of the project. Each business case that is produced should include the relevant risks in the relevant case and show how the risk has changed since the last Gate."
5.18,Management,GATE_2,Has the project used robust planning and estimation techniques?,"_      Planning and estimation techniques include: Analogous estimation, Parametric estimation, Delphi method, 3 Point Estimate, Expert Judgment, Published Data Estimates, Vendor Bid Analysis, Reserve Analysis, Bottom-Up Analysis, and Simulation.
_      Projects should demonstrate objectives, planning assumptions, constraints, activities and quality plans alongside schedules. Deliverables and milestones should be defined and agreed for all stages. Detail should be high for the immediate next stage.
_      The Programme/Project should demonstrate that it is controlling its schedule, and the impact of delays on benefits and cost. The schedule should be baselined at each business case stage and changes to the baseline should be reflected in the costs and benefits of
the project."
5.19,Management,GATE_2,"Have programmes and projects defined an integrated plan for
undertaking assurance and approvals (IAAP)?","_      A defined and integrated plan for undertaking assurance and approvals in place, is regularly reviewed, updated and maintained, with a plan to do so until closure.
_      Assurance measures to include:
_       Critical friends  to the project (e.g. internal audit, procurement, specialists and/or peer reviewers co-opted onto the Project Board) appointed.
_      Health-checks and/or policy reviews incorporated into plans.
_      2nd Line of defence assurance through the Department Portfolio Office.
_      Gate assurance through the IPA."
5.2,Management,GATE_2,"Does the project have an adequate Project/
Programme Management Office (PMO) capability?","_      The project should demonstrate that the PMO is maintaining the integrity of the business cases (programme and project level), managing the collation and escalation of risk, issues, dependencies, constraints, and reporting at project level.
_      Programmes and Projects are expected to demonstrate that they have a project office in their project organisation."
Infrastructure Specific Questions and Evidence,,GATE_2,,Evidence
#,Category,GATE_2,Question,
2.1,Economic,GATE_2,"Has the project completed a Project Outcome Profile to assess how it will contribute to Government s priority outcomes as
set out in the Public Value Framework?","_      A completed Project Outcome Profile e.g. productivity, carbon emissions, regional increase in Gross Value Added (GVA) etc.
_      A defined plan for driving performance across the lifecycle with well articulated, measurable Key Performance Indicators (KPIs) to track progress.
_      A defined approach that describes the interfaces with the Supply Chain and how performance
of the Supply Chain will be measured and monitored.
_      Articulated how the project fits into the SNAP model (System, Networks, Assets, Projects) for Infrastructure and how benefits are realised across departments and other stakeholders such as local authorities, combined authorities etc.
_      Peer reviewed economic models should be in place which underpin the projects benefit forecasts.
_      Earned value reporting should be embedded.
_      A project risk register should exist. The project QCRA should be regularly updated to provide an up to date contingency drawdown curve to support monthly progress meetings."
2.2,Economic,GATE_2,"Do the benefits reflect what society wants and are these benefits shared widely? Have the range
of views of communities affected by the infrastructure been taken into account and are they reflected in the design?","_      Evidence of consultation rounds with impacted user groups and external stakeholders.
_      Project vision and benefits plan agreed, signed off and published."
2.3,Economic,GATE_2,"Do the benefits reflect what society wants and are these benefits shared widely? Have the range
of views of communities affected by the infrastructure been taken into account and are they reflected in the design?","_      There must be a clear understanding of the benefits that the project brings. For
example, how does the project align with the national context and future infrastructure projects. This must be documented within the benefits strategy.
_      Consideration of impact to future infrastructure projects.
_      Consideration and articulation of UK economic benefits.
_      Clear articulation and evidence of how the project links to priority outcomes at a
Department and Government level, as set out in the Public Value Framework and agreed through Outcome Delivery Plan.
_      Use of Project Outcome Profile to demonstrate the link between cross-government priorities, department priorities and project priorities and outcomes."
2.4,Economic,GATE_2,"How does the project fit within a national context, including existing and planned infrastructure projects, networks
and systems and has it examined opportunities to join up different sectors (e.g. transport and housing)?",_      The Business Case articulates how the benefits improve the local ecology. A benefits plan should be in place and should demonstrate the wider benefits of the ecosystem.
3.1,Management,GATE_2,Does the design of the infrastructure project provide a sense of identity? Does it improve the environment and does it support the local ecology?,Evidence
#,Category,GATE_2,Question,_      Evidence that the project and its objectives are continually reviewed as well as evidence that the contractors are reviewed.
3.2,Management,GATE_2,"What is the approach to whole life cycle
performance management of the assets being built and contractors delivering the project?","_      The comprehensive plan should include benchmarking of schedules broken down into agreed project stages: Feasibility, Appraise & Select, Define, Deliver, Operate; and justification for how the proposed schedule compares against the benchmarks."
